Source,Target
424694,369192
424694,10139
424694,1420
424694,397538
424694,152532
483906,272
483906,1927
483906,155
483906,263115
483906,383498
450465,155
450465,1924
450465,141052
450465,1452
450465,36648
401469,16995
401469,402900
401469,10139
401469,238
401469,500
332562,25196
332562,458737
332562,254470
332562,525
332562,354912
504172,4836
504172,1900
504172,6977
504172,769
433249,76341
433249,157336
433249,119450
433249,336843
433249,101299
505954,423
505954,424
505954,369885
505954,14574
505954,637
337167,281957
337167,11027
337167,341174
337167,392044
337167,867
375262,449176
375262,424694
375262,184352
375262,26280
375262,507076
405774,131631
405774,198663
405774,428078
405774,294254
405774,185
369972,10734
369972,3558
369972,423899
369972,424
369972,769
429197,424
429197,769
429197,640
429197,508
429197,443009
426426,13
426426,112160
426426,171274
426426,1949
426426,8204
490132,449176
490132,184352
490132,377154
490132,382475
490132,26280
487558,424
487558,769
487558,467952
489999,300668
489999,338970
489999,277685
489999,284276
489999,340677
401847,769
401847,467952
401847,424694
401847,152532
401847,340027
484247,336843
484247,101299
484247,346364
484247,454983
484247,769
157336,568
157336,126889
157336,75612
157336,348
157336,2048
361292,561
361292,259693
361292,1487
361292,184346
361292,622
447332,381283
447332,405774
447332,19908
447332,110415
447332,311291
446021,77
446021,13
446021,472715
446021,1368
446021,1369
399360,281957
399360,309050
399360,290512
399360,75174
399360,44363
340613,843
340613,346685
340613,340666
340613,28468
340613,8999
451915,487558
451915,424
451915,769
451915,467952
65754,60670
65754,392044
65754,281957
65754,210577
49047,157336
49047,62
49047,369972
49047,286217
49047,274870
210577,75780
210577,346364
210577,336843
210577,392044
458594,357096
458594,10781
458594,45569
458594,156022
458594,281957
470044,281957
470044,392044
470044,595
470044,101299
470044,336843
401545,1417
401545,1124
401545,2501
401545,2503
401545,75656
315635,1924
315635,1452
315635,8536
315635,13640
315635,9531
475132,324786
475132,424694
475132,332283
475132,424
475132,769
400535,1266
400535,4771
400535,562
400535,2320
400535,1701
155,272
155,49026
155,209112
155,40662
155,156022
263115,155
263115,272
263115,1924
263115,209112
263115,246655
457136,401847
457136,424
457136,769
